SR NO,NAME,PROPERTY TYPE,LOCATION,CITY,CONTACT NO 1,CONTACT NO 2,CONTACT NO 3,EMAIL 1,EMAIL 2,EMAIL 3,RATING OUT OF 5,REVIEW COUNT,PRICE PER DAY,LOCATION TYPE,WEBSITE,INSTAGRAM,FACEBOOK,LINKEDIN,YOUTUBE,TWITTER
1,The Park Chennai,Boutique Hotel,"601, Anna Salai, near US Embassy, Tirumurthy Nagar, Nungambakkam, Chennai, Tamil Nadu 600006, India",Chennai,044 4267 6000,,,,,,4.2,19933,,"establishment, lodging, point_of_interest",https://www.theparkhotels.com/chennai/,https://www.instagram.com/theparkhotels/,https://www.facebook.com/pages/The-Park-Hotels/149015151819500,https://www.linkedin.com/company/43515?trk=tyah,https://www.youtube.com/theparkhotels,https://www.twitter.com/parkhotelsindia
2,GRAND ONE TOWER,Hotel,"3-2, Wallace Gdn 3rd St, Thousand Lights West, Thousand Lights, Chennai, Tamil Nadu 600006, India",Chennai,073059 50244,7305030243,7305950244,info@grandonetowerhotels.com,,,4.5,556,,"establishment, lodging, point_of_interest",https://grandonetowerhotels.com/,https://www.instagram.com/_grand_one_tower_/,https://www.facebook.com/grandonetower,,,
3,Supreme Stay - Hotel Chepauk,Boutique Hotel,"21, CN Krishnasamy Street, Police Quarters, Triplicane, Chennai, Tamil Nadu 600005, India",Chennai,044 4779 0041,,,booking@supremestay.in,,,4.4,932,,"establishment, lodging, point_of_interest",http://www.supremestay.in/,https://www.instagram.com/supreme.stay?igsh=MWJjZTM4bG1xbmVtMg==,https://www.facebook.com/profile.php?id=61568221840313,https://www.linkedin.com/company/103763202/,,
4,The Hydel Park (Business Class Hotel) Chennai,Hotel,"12, VV Koil St, Periamet, Park Town, Chennai, Tamil Nadu 600003, India",Chennai,091769 03442,,,,,,4.7,3587,,"establishment, lodging, point_of_interest",https://www.makemytrip.com/hotels/hotel-details/?hotelId=201809251717468804&_uCurrency=INR&checkin=10262023&checkout=10282023&city=CTMAA&country=IN&lat=13.0822&lng=80.27045&locusId=CTMAA&locusType=city&rank=1&regionNearByExp=3&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=The%20Hydel%20Park%20Business%20Class%20Hotel%2C%20Chennai%2C%20Tamil%20Nadu&topHtlId=201809251717468804&mtkeys=defaultMtkey,,,,,
5,"Park Avenue Hotel, Chennai",Hotel,"No. 67, 84, Nungambakkam High Road, Block Z, Tirumurthy Nagar, Nungambakkam, Subba Road Avenue, Nungambakkam, Chennai, Tamil Nadu 600034, India",Chennai,044 2827 5555,+91 8970020020,,reservation_blr@parkavenuehotel.in,info@parkavenuehotel.in,reservation@parkavenuehotel.in,4.0,1485,,"establishment, food, lodging, point_of_interest, restaurant",http://www.parkavenuehotel.in/,,,,,
6,Hotel Greens Gate,Hotel,"12, Metro Entrance, 13, VV Koil St, adjacent to Ripon Building, Periamet, Poongavanapuram, Chennai, Tamil Nadu 600003, India",Chennai,091769 03441,,,,,,3.8,1915,,"establishment, lodging, point_of_interest",https://hotelgreensgate.com/,,,,,
7,Royal Palace Marina,Luxury Hotel,"NO 1, Tassuddin khan street, near Adam Market, Police Quarters, Triplicane, Chennai, Tamil Nadu 600005, India",Chennai,093805 06126,,,,,,3.6,1153,,"establishment, lodging, point_of_interest",https://www.royalpalacemarina.com/,,,,,
8,Sheraton Grande near Puratchi Thalaivar Dr MGR Central Railway Station at periamet,Hotel,"1/1, Shaik Ali Subedar St, near Nehru Indoor Stadium, Periamet, Nabhikhan, Poongavanapuram, Chennai, Tamil Nadu 600003, India",Chennai,096771 65873,,,,,,4.8,1999,,"establishment, lodging, point_of_interest",https://www.makemytrip.com/hotels/hotel-details/?hotelId=202207012316507224&_uCurrency=INR&checkin=10272023&checkout=10282023&city=CTMAA&country=IN&lat=13.08393&lng=80.26991&locusId=CTMAA&locusType=city&rank=1&reference=hotel&rf=directSearch&roomStayQualifier=2e0e&rsc=1e2e0e&searchText=Sheraton%20Grande%20Hotel%20-%20Business%20Class%20Hotel&topHtlId=202207012316507224&type=hotel&mtkeys=defaultMtkey,,,,,
9,Aum Karthikeya Residency,,"1119, Poonamallee High Rd, Periamet, Poongavanapuram, Chennai, Tamil Nadu 600003, India",Chennai,073059 79229,,,,,,3.3,287,,"establishment, lodging, point_of_interest",,,,,,
10,"Blossoms - Hotel and Serviced apartment in T Nagar, Chennai",Hotel,"No 29 & 31, Arcot Street, Thanikachalam Rd, Parthasarathi Puram, T. Nagar, Chennai, Tamil Nadu 600017, India",Chennai,098407 22225,,,blossomschennai@gmail.com,,,4.3,747,,"establishment, lodging, point_of_interest, spa",https://blossomsservicedapartments.com/,https://www.instagram.com/accounts/login/?next=%2Fblossomshotels%2F&source=omni_redirect,https://www.facebook.com/blossomshotels?rdid=Y1oXkSTM3vGNLhme&share_url=https%3A%2F%2Fwww.facebook.com%2Fshare%2F173JcHVdVb%2F#,,,
11,Hotel Delmon Residency,Hotel,"37,Thiruvengadam street, Poonamallee High Rd, Periamet, Poongavanapuram, Chennai, Tamil Nadu 600003, India",Chennai,093451 78435,,,,,,3.5,182,,"establishment, lodging, point_of_interest",https://www.oyorooms.com/207112/,https://instagram.com/oyorooms/,https://www.facebook.com/oyorooms,https://www.linkedin.com/company/oyo-rooms/jobs/,https://www.youtube.com/channel/UC1b6tyXZTHdIZ5vmgoAqn9w,https://twitter.com/oyorooms
12,Peace Inn,,"164/60, Big St, Chepauk, Triplicane, Chennai, Tamil Nadu 600005, India",Chennai,044 2858 0040,,,,,,3.8,752,,"establishment, lodging, point_of_interest",,,,,,
13,Zidan Hotel rooms,,"Chennai Central, 37JC+G64, Periamet, Poongavanapuram, Chennai, Tamil Nadu 600003, India",Chennai,,,,,,,3.2,80,,"establishment, lodging, point_of_interest",,,,,,
14,Hablis - A Business Hotel In Chennal,Hotel,"19, Grand Southern Trunk Rd, Ramapuram, Guindy, Chennai, Tamil Nadu 600032, India",Chennai,044 4023 5555,,,reservations@hablis.com,,,4.2,12018,,"establishment, lodging, point_of_interest",https://www.hablis.com/,https://www.instagram.com/hablischennai/,,,https://www.youtube.com/channel/UCqOiu9oLL6xO-U_nIy2AnNQ,https://twitter.com/hablischennai
15,Raj Park Hotel Chennai,Hotel,"180, TTK Rd, Parthasarathypuram, Alwarpet, Chennai, Tamil Nadu 600018, India",Chennai,044 4225 7777,,,tirupati@rajparkhotels.com,reservations.chn@rajparkhotels.com,chennai@rajparkhotels.com,4.0,5557,,"establishment, food, lodging, point_of_interest, restaurant",https://www.rajpark.com/alwarpet-chennai-hotel/,,https://www.facebook.com/rajparkchennai/,,https://www.youtube.com/watch?v=oOiZTa8poks,
16,ibis Chennai City Centre,Hotel,"690, Anna Salai, Mount Rd, Thousand Lights, Chennai, Tamil Nadu 600006, India",Chennai,044 7122 5588,,,h8020-re@accor.com,,,4.4,17655,,"establishment, lodging, point_of_interest",https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=8020&merchantid=seo-maps-IN-8020&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,https://www.instagram.com/all.accor,https://www.facebook.com/ALL/,https://www.linkedin.com/company/all-accorlivelimitless/,https://www.youtube.com/All_AccorLiveLimitless,https://twitter.com/all
17,The Madras Grand - Hotel Egmore,Boutique Hotel,"1, Chinna St, Egmore, Chennai, Tamil Nadu 600008, India",Chennai,093848 81777,,,,,,4.5,1368,,"establishment, lodging, point_of_interest",http://themadrasgrand.com/,https://www.instagram.com/themadrasgrand,https://www.facebook.com/Themadrasgrand,https://www.linkedin.com/company/103760608/,,
18,Ramada by Wyndham Chennai Egmore,Hotel,"Gandhi Irwin Rd, Ansari Estate, Egmore, Chennai, Tamil Nadu 600008, India",Chennai,044 4610 4777,,,accessibility@wyndham.com,,,4.2,10481,,"establishment, lodging, point_of_interest",https://www.wyndhamhotels.com/en-uk/ramada/chennai-india/ramada-chennai-egmore/overview?CID=LC:wmcic5n98gs1g0r:46821&iata=00093796,,https://www.facebook.com/ramada,,,http://twitter.com/ramadaworldwide
19,Vestin Park Hotel,Hotel,"39, Red Cross Rd, Egmore, Chennai, Tamil Nadu 600008, India",Chennai,,,,,,,4.1,5634,,"cafe, establishment, food, lodging, point_of_interest, restaurant, store",https://www.vestinpark.com/,,,,,
20,Hotel O Golden Tower,Hotel,"78, Poonamallee High Rd, Periamet, Anna Nagar, Anna Nagar West, Periyamet, Chennai, Tamil Nadu 600003, India",Chennai,,,,,,,3.6,76,,"establishment, lodging, point_of_interest",https://www.oyorooms.com/250516/,https://instagram.com/oyorooms/,https://www.facebook.com/oyorooms,https://www.linkedin.com/company/oyo-rooms/jobs/,https://www.youtube.com/channel/UC1b6tyXZTHdIZ5vmgoAqn9w,https://twitter.com/oyorooms
